Model,RMSE-Train,R2-Train,RMSE-Test,R2-Test
LR,22.734164950962253,0.7023848970100307,22.91426532858463,0.6959448729951724
SVM,21.428640701460495,0.735584932825719,21.8282223002763,0.7240838052912162
SVM,21.428640701460495,0.735584932825719,21.8282223002763,0.7240838052912162
SVM,21.428640701460495,0.735584932825719,21.8282223002763,0.7240838052912162
DT,17.51183215387695,0.8234124322006571,21.182564680838038,0.7401650672072244
DT,17.51183215387695,0.8234124322006571,21.182564680838038,0.7401650672072244
DF,21.117494020201647,0.74320786818341,20.811150053544495,0.7491970635471578
DF,21.117494020201647,0.74320786818341,20.811150053544495,0.7491970635471578
DF,21.117494020201647,0.74320786818341,20.285305501774445,0.7617112378952524
DF,21.117494020201647,0.74320786818341,20.285305501774445,0.7617112378952524
Ridge,22.734441577548502,0.7023776542763729,22.910664520456375,0.6960404255371113
Ridge,22.734441577548502,0.7023776542763729,22.910664520456375,0.6960404255371113
XgBoost,19.46632882090693,0.7817948460578918,20.371247677390645,0.7596878409385681
ANN,20.22624942423791,0.7644258737564087,20.046206694335744,0.7672954797744751
